epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.184,1.83716,2.73474,1.51956,0.10534,0.92283,0.34485,0.16989,1.33265,2.44081,1.27738,0.0903829,9.71429e-05,9.71429e-05
2,225.829,1.49669,1.85862,1.34525,0.11266,0.98693,0.75277,0.43021,1.23013,2.08159,1.29468,0.0804828,0.000197095,0.000197095
3,340.173,1.39407,1.57417,1.30077,0.82085,0.7366,0.83672,0.50543,1.23745,1.6432,1.29645,0.0705826,0.000296853,0.000296853
4,452.672,1.36458,1.34162,1.26052,0.82952,0.82754,0.88634,0.55265,1.23186,1.29595,1.28781,0.060682,0.00039627,0.00039627
5,564.853,1.3049,1.18813,1.23368,0.85798,0.86401,0.91728,0.58251,1.21982,1.13353,1.28145,0.0507809,0.000495202,0.000495202
6,677.227,1.29611,1.11605,1.23674,0.87066,0.89059,0.93534,0.60672,1.19953,1.045,1.26311,0.0408792,0.000593504,0.000593504
7,788.682,1.27018,1.02928,1.19715,0.88243,0.91134,0.94687,0.62263,1.17529,0.97075,1.24487,0.0309767,0.00069103,0.00069103
8,900.251,1.25957,0.9989,1.21234,0.89891,0.91946,0.95523,0.63247,1.16573,0.923,1.23234,0.0210734,0.00078764,0.00078764
9,1010.62,1.23186,0.92117,1.17598,0.90464,0.93804,0.96255,0.64188,1.14548,0.86184,1.2167,0.0111689,0.000883191,0.000883191
10,1121.32,1.22642,0.9001,1.17342,0.91156,0.94413,0.96468,0.61345,1.2367,0.88148,1.25116,0.00126326,0.000977544,0.000977544
11,1232.67,1.20145,0.86015,1.16107,0.91587,0.94866,0.96568,0.65022,1.12511,0.82435,1.19608,0.000975773,0.000975773,0.000975773
12,1345.45,1.20159,0.86143,1.16414,0.92408,0.95804,0.97052,0.66238,1.10979,0.79045,1.18189,0.000970736,0.000970736,0.000970736
13,1458.27,1.18605,0.81965,1.12736,0.92738,0.96258,0.97327,0.66815,1.10023,0.76831,1.17446,0.000965239,0.000965239,0.000965239
14,1571.76,1.16242,0.79799,1.13703,0.93306,0.96447,0.97514,0.66496,1.115,0.75991,1.17949,0.000959289,0.000959289,0.000959289
15,1686.56,1.16028,0.79804,1.15346,0.9356,0.96837,0.97645,0.67317,1.09214,0.72882,1.16283,0.000952889,0.000952889,0.000952889
16,1800.08,1.15844,0.77293,1.13323,0.93518,0.97028,0.9771,0.68113,1.07352,0.71863,1.15171,0.000946048,0.000946048,0.000946048
17,1912.76,1.1482,0.76347,1.10782,0.93749,0.97069,0.97794,0.6821,1.07105,0.70397,1.15071,0.000938772,0.000938772,0.000938772
18,2023.49,1.14343,0.75753,1.13127,0.94009,0.97109,0.97877,0.67805,1.08435,0.69887,1.15269,0.000931067,0.000931067,0.000931067
19,2135.66,1.14962,0.73618,1.10567,0.94407,0.97059,0.97887,0.68269,1.07039,0.68532,1.14835,0.000922942,0.000922942,0.000922942
20,2246.19,1.12208,0.71572,1.11566,0.94423,0.97092,0.97923,0.68645,1.05406,0.67023,1.13509,0.000914405,0.000914405,0.000914405
21,2357.79,1.14035,0.7243,1.10338,0.94743,0.97175,0.97979,0.68557,1.05678,0.6666,1.13389,0.000905463,0.000905463,0.000905463
22,2469.02,1.12527,0.71379,1.10375,0.95028,0.97154,0.98091,0.68253,1.07343,0.65753,1.13739,0.000896127,0.000896127,0.000896127
23,2581.13,1.10542,0.69547,1.08307,0.95269,0.97225,0.98123,0.69397,1.04207,0.64434,1.12724,0.000886404,0.000886404,0.000886404
24,2693.07,1.10642,0.69806,1.09055,0.95367,0.97426,0.98179,0.69416,1.04,0.63872,1.12278,0.000876305,0.000876305,0.000876305
25,2803.31,1.0997,0.69408,1.10133,0.9573,0.97363,0.98218,0.69039,1.05133,0.63783,1.12647,0.000865839,0.000865839,0.000865839
26,2914.71,1.0909,0.68481,1.08434,0.95889,0.97381,0.98221,0.69163,1.042,0.63441,1.11878,0.000855018,0.000855018,0.000855018
27,3025.81,1.10857,0.67247,1.09043,0.96044,0.97375,0.98237,0.69734,1.02469,0.62228,1.11281,0.000843851,0.000843851,0.000843851
28,3136.27,1.09823,0.66347,1.08318,0.95863,0.97491,0.98275,0.69784,1.02701,0.61702,1.11317,0.000832349,0.000832349,0.000832349
29,3244.81,1.10127,0.67221,1.09047,0.95823,0.97454,0.98296,0.69965,1.02132,0.61134,1.11079,0.000820525,0.000820525,0.000820525
30,3352.69,1.09734,0.65735,1.07674,0.95981,0.97386,0.98295,0.69729,1.02281,0.61022,1.10793,0.000808389,0.000808389,0.000808389
31,3461.64,1.08565,0.66108,1.09425,0.96069,0.97417,0.98343,0.70076,1.0221,0.60476,1.10855,0.000795954,0.000795954,0.000795954
32,3571.16,1.08675,0.66305,1.08492,0.96268,0.97347,0.98331,0.6992,1.02649,0.60396,1.11005,0.000783231,0.000783231,0.000783231
33,3679.7,1.08001,0.64811,1.08094,0.96149,0.97523,0.98389,0.69928,1.03014,0.60157,1.11091,0.000770234,0.000770234,0.000770234
34,3788.21,1.07745,0.65367,1.08673,0.96188,0.97502,0.98405,0.69718,1.03471,0.60175,1.1112,0.000756976,0.000756976,0.000756976
35,3896.73,1.09062,0.6415,1.0765,0.96417,0.97386,0.98418,0.70633,1.01082,0.59012,1.10295,0.000743468,0.000743468,0.000743468
36,4004.72,1.06458,0.6342,1.07786,0.96258,0.97344,0.98406,0.70233,1.01739,0.59045,1.10443,0.000729725,0.000729725,0.000729725
37,4113.37,1.07971,0.64474,1.07851,0.96416,0.9766,0.98451,0.71091,0.99626,0.58062,1.09562,0.000715761,0.000715761,0.000715761
38,4221,1.07279,0.6479,1.06574,0.96257,0.97858,0.985,0.71079,0.99843,0.57866,1.09514,0.000701588,0.000701588,0.000701588
39,4329.44,1.06259,0.6336,1.06654,0.96189,0.97907,0.98487,0.71129,0.99383,0.57316,1.09423,0.000687222,0.000687222,0.000687222
40,4437.45,1.05508,0.6307,1.07626,0.96221,0.97965,0.98506,0.71134,0.99479,0.57477,1.092,0.000672675,0.000672675,0.000672675
41,4544.94,1.0689,0.62686,1.07968,0.96396,0.97832,0.98535,0.71063,0.99865,0.5711,1.09477,0.000657963,0.000657963,0.000657963
42,4654.5,1.06119,0.62713,1.0572,0.96483,0.97738,0.98515,0.71231,0.98964,0.56932,1.09004,0.000643101,0.000643101,0.000643101
43,4764.63,1.06361,0.62263,1.06809,0.96281,0.97982,0.9852,0.71047,0.99402,0.56677,1.08902,0.000628101,0.000628101,0.000628101
44,4874.25,1.05775,0.62318,1.04596,0.96392,0.98009,0.98514,0.7135,0.98854,0.56225,1.08957,0.000612981,0.000612981,0.000612981
45,4983.48,1.05911,0.63122,1.0884,0.96371,0.97985,0.98522,0.70479,1.01872,0.57404,1.0983,0.000597754,0.000597754,0.000597754
46,5092.86,1.05559,0.62798,1.06507,0.96481,0.98008,0.98558,0.71558,0.98198,0.56075,1.08395,0.000582435,0.000582435,0.000582435
47,5201.87,1.05942,0.62561,1.06595,0.96484,0.98081,0.98593,0.71574,0.98421,0.55508,1.08525,0.00056704,0.00056704,0.00056704
48,5310.17,1.0493,0.60679,1.05606,0.96422,0.97913,0.98597,0.71504,0.98659,0.55476,1.08506,0.000551584,0.000551584,0.000551584
