epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.914,1.38409,1.59057,1.14306,0.09446,0.82754,0.30201,0.09499,2.37802,2.56067,1.67323,0.0903829,9.71429e-05,9.71429e-05
2,226.615,1.27934,0.97791,1.04533,0.11071,0.96985,0.88167,0.51133,1.39425,2.20176,1.06455,0.0804828,0.000197095,0.000197095
3,335.772,1.2551,0.87304,1.03485,0.90196,0.94339,0.96241,0.64035,1.15621,1.10013,0.95937,0.0705826,0.000296853,0.000296853
4,445.099,1.20558,0.78844,0.99621,0.90857,0.95214,0.96551,0.6417,1.1293,0.72752,0.9629,0.060682,0.00039627,0.00039627
5,554.693,1.1615,0.72991,0.9863,0.90956,0.94961,0.95949,0.62932,1.14229,0.71261,0.98671,0.0507809,0.000495202,0.000495202
6,662.879,1.1668,0.71112,0.99025,0.92069,0.95225,0.97071,0.6236,1.20805,0.70063,1.00965,0.0408792,0.000593504,0.000593504
7,770.152,1.15716,0.68631,0.97743,0.91659,0.95646,0.97129,0.65382,1.11259,0.66448,0.97249,0.0309767,0.00069103,0.00069103
8,879.086,1.1356,0.66993,0.9765,0.93463,0.97618,0.97741,0.68162,1.06736,0.6194,0.96256,0.0210734,0.00078764,0.00078764
9,984.939,1.12945,0.64579,0.97156,0.93958,0.97536,0.9783,0.6792,1.06206,0.60595,0.95821,0.0111689,0.000883191,0.000883191
10,1092.96,1.13731,0.65618,0.97314,0.93941,0.98073,0.97924,0.65177,1.16818,0.60765,1.00239,0.00126326,0.000977544,0.000977544
11,1201.73,1.13351,0.63113,0.97,0.94984,0.97586,0.97986,0.68029,1.07631,0.57514,0.96592,0.000975773,0.000975773,0.000975773
12,1307.86,1.1336,0.64063,0.97326,0.94915,0.97565,0.9834,0.69501,1.041,0.55851,0.94606,0.000970736,0.000970736,0.000970736
13,1415.37,1.11329,0.61295,0.95942,0.95987,0.97589,0.98415,0.69355,1.04499,0.54389,0.95071,0.000965239,0.000965239,0.000965239
14,1522.41,1.09033,0.59948,0.9625,0.96097,0.97847,0.9836,0.70319,1.01907,0.54555,0.94659,0.000959289,0.000959289,0.000959289
15,1630.18,1.07555,0.59084,0.96365,0.96031,0.97947,0.98322,0.70501,1.00574,0.53838,0.93928,0.000952889,0.000952889,0.000952889
16,1736.44,1.07492,0.57573,0.95392,0.96352,0.97739,0.98364,0.70482,1.01173,0.52862,0.94116,0.000946048,0.000946048,0.000946048
17,1843.7,1.07235,0.57944,0.94588,0.95927,0.98197,0.98215,0.70672,1.00273,0.51261,0.9335,0.000938772,0.000938772,0.000938772
18,1950.2,1.06628,0.57076,0.95114,0.96267,0.98377,0.98257,0.70815,1.0017,0.51031,0.9353,0.000931067,0.000931067,0.000931067
19,2056.71,1.08166,0.57127,0.95026,0.96563,0.98377,0.98585,0.70649,1.00782,0.49791,0.93325,0.000922942,0.000922942,0.000922942
20,2163.45,1.05425,0.55603,0.95072,0.96332,0.98545,0.98567,0.71374,0.98933,0.49382,0.93385,0.000914405,0.000914405,0.000914405
21,2271.02,1.07401,0.55617,0.94679,0.96448,0.98503,0.98619,0.7115,1.00181,0.50597,0.93513,0.000905463,0.000905463,0.000905463
22,2377.49,1.05794,0.55566,0.9442,0.96792,0.9828,0.98497,0.71443,0.98319,0.50147,0.93333,0.000896127,0.000896127,0.000896127
23,2483.03,1.04675,0.54836,0.93747,0.97084,0.98282,0.98478,0.71704,0.96397,0.49067,0.92764,0.000886404,0.000886404,0.000886404
24,3613.84,1.03797,0.54234,0.93487,0.96624,0.98665,0.9844,0.71759,0.96705,0.48406,0.92586,0.000876305,0.000876305,0.000876305
25,15559.3,1.03473,0.53824,0.94186,0.96707,0.98758,0.98623,0.71825,0.98488,0.48006,0.92765,0.000865839,0.000865839,0.000865839
26,20046.2,1.03954,0.53961,0.93469,0.96674,0.98471,0.98569,0.71909,0.97027,0.48445,0.92393,0.000855018,0.000855018,0.000855018
27,20152.5,1.05973,0.53686,0.94484,0.96692,0.98577,0.9863,0.71997,0.98903,0.48132,0.93876,0.000843851,0.000843851,0.000843851
28,20260.9,1.04085,0.52927,0.93864,0.97156,0.98663,0.9848,0.72471,0.95816,0.46899,0.92341,0.000832349,0.000832349,0.000832349
29,20367.6,1.03033,0.52503,0.93694,0.97039,0.98792,0.98472,0.7214,0.96968,0.477,0.92384,0.000820525,0.000820525,0.000820525
30,20475.6,1.03254,0.52145,0.93388,0.96762,0.98556,0.98705,0.72026,0.99016,0.48701,0.92897,0.000808389,0.000808389,0.000808389
31,20581.4,1.02327,0.52467,0.94041,0.96943,0.9862,0.98753,0.72924,0.95974,0.46741,0.92322,0.000795954,0.000795954,0.000795954
32,20687.5,1.02246,0.51899,0.93588,0.971,0.98835,0.98759,0.73222,0.95743,0.45381,0.92219,0.000783231,0.000783231,0.000783231
33,20793.2,1.01829,0.50782,0.9359,0.96689,0.98693,0.98744,0.73522,0.949,0.46326,0.9237,0.000770234,0.000770234,0.000770234
34,20898.9,1.01262,0.51254,0.93411,0.96626,0.98587,0.98696,0.71799,0.99312,0.48136,0.92915,0.000756976,0.000756976,0.000756976
35,21005.5,1.02839,0.50681,0.93435,0.97059,0.98798,0.98764,0.73164,0.95711,0.45467,0.92398,0.000743468,0.000743468,0.000743468
36,21111.7,1.00081,0.49599,0.93407,0.97049,0.98914,0.98732,0.73362,0.9418,0.44703,0.91729,0.000729725,0.000729725,0.000729725
37,21219.3,1.00535,0.4992,0.93102,0.97242,0.98496,0.9874,0.7356,0.93775,0.44788,0.91498,0.000715761,0.000715761,0.000715761
38,21327.9,1.00043,0.49743,0.92517,0.97218,0.98737,0.98727,0.73464,0.94056,0.44428,0.91976,0.000701588,0.000701588,0.000701588
39,21434.4,0.99821,0.4946,0.92925,0.97048,0.98798,0.98656,0.72976,0.95353,0.45146,0.92416,0.000687222,0.000687222,0.000687222
40,21539.5,0.98834,0.48533,0.92842,0.9733,0.98746,0.9883,0.73701,0.92626,0.44053,0.9131,0.000672675,0.000672675,0.000672675
41,21644.7,0.9989,0.48762,0.93212,0.9678,0.98853,0.98795,0.72856,0.95728,0.45372,0.92325,0.000657963,0.000657963,0.000657963
42,21750.9,0.99665,0.49334,0.92536,0.96737,0.98988,0.98851,0.74053,0.92815,0.44037,0.9151,0.000643101,0.000643101,0.000643101
43,21858.2,0.99842,0.48817,0.92903,0.97377,0.99015,0.9884,0.74336,0.92706,0.43257,0.91462,0.000628101,0.000628101,0.000628101
